"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
2.420231250E0,3.298022952E-1,-2.479441083E-1,9.801319224E0
2.430160250E0,3.145935045E-1,-2.479590369E-1,9.801818576E0
2.440089250E0,3.000818847E-1,-2.480603034E-1,9.802271150E0
2.450017250E0,2.873594398E-1,-2.480742088E-1,9.802651804E0
2.459946250E0,2.777488648E-1,-2.482098277E-1,9.802925454E0
2.469875250E0,2.716963022E-1,-2.483413352E-1,9.803091515E0
2.479804250E0,2.691853434E-1,-2.484321315E-1,9.803158758E0
2.489733250E0,2.699875083E-1,-2.482814743E-1,9.803140631E0
2.499662250E0,2.734028487E-1,-2.481776680E-1,9.803048245E0
2.509591250E0,2.786251797E-1,-2.479980854E-1,9.802906158E0
2.519520250E0,2.844901197E-1,-2.479935538E-1,9.802737758E0
2.529449250E0,2.899428676E-1,-2.479384803E-1,9.802579299E0
2.539378250E0,2.941791205E-1,-2.479432860E-1,9.802452999E0
2.549307250E0,2.967859372E-1,-2.479777663E-1,9.802373477E0
2.559236250E0,2.974857758E-1,-2.479228025E-1,9.802353596E0
2.569165250E0,2.958822500E-1,-2.479733992E-1,9.802400959E0
2.579093250E0,2.925178717E-1,-2.479402162E-1,9.802502700E0
2.589022250E0,2.878959218E-1,-2.477724925E-1,9.802643618E0
2.598951250E0,2.827778723E-1,-2.477394557E-1,9.802793307E0
2.608880583E0,2.779185071E-1,-2.476791746E-1,9.802934225E0
2.618809583E0,2.737917251E-1,-2.475324095E-1,9.803054093E0
2.628738583E0,2.707943327E-1,-2.475239675E-1,9.803137123E0
2.638667583E0,2.689791011E-1,-2.474320749E-1,9.803189748E0
2.648596583E0,2.678338508E-1,-2.473286888E-1,9.803223662E0
2.658525583E0,2.672486177E-1,-2.472799925E-1,9.803240619E0
2.668454583E0,2.669394644E-1,-2.473903221E-1,9.803246466E0
2.678383583E0,2.664506554E-1,-2.474948959E-1,9.803256991E0
2.688312583E0,2.654740242E-1,-2.474199785E-1,9.803285642E0
2.698241583E0,2.637329062E-1,-2.474310516E-1,9.803332420E0
2.708169583E0,2.608092252E-1,-2.474095814E-1,9.803410773E0
2.718098583E0,2.569270029E-1,-2.472833181E-1,9.803516607E0
2.728027583E0,2.519625341E-1,-2.471111907E-1,9.803649924E0
2.737956583E0,2.458204361E-1,-2.471091807E-1,9.803806044E0
2.747885583E0,2.386781535E-1,-2.472911753E-1,9.803977953E0
2.757814583E0,2.309729851E-1,-2.474008288E-1,9.804159801E0
2.767743583E0,2.228805117E-1,-2.474502195E-1,9.804345742E0
2.777672583E0,2.150643924E-1,-2.474548790E-1,9.804519989E0
2.787601583E0,2.077065851E-1,-2.473888786E-1,9.804680203E0
2.797530583E0,2.011813117E-1,-2.473007135E-1,9.804818782E0
2.807459583E0,1.955481590E-1,-2.473270260E-1,9.804932218E0
2.817388583E0,1.912141296E-1,-2.474596116E-1,9.805014079E0
2.827317583E0,1.878835373E-1,-2.474052873E-1,9.805079568E0
2.837245583E0,1.855570216E-1,-2.473723602E-1,9.805125176E0
2.847174583E0,1.839530572E-1,-2.472289938E-1,9.805159090E0
2.857103583E0,1.828856480E-1,-2.471138036E-1,9.805181894E0
2.867032583E0,1.818360545E-1,-2.470640840E-1,9.805202360E0
2.876961583E0,1.801460265E-1,-2.470091202E-1,9.805235104E0
2.886890583E0,1.777265218E-1,-2.468797323E-1,9.805282466E0
2.896819583E0,1.745600535E-1,-2.470350672E-1,9.805335676E0
2.906748583E0,1.706922848E-1,-2.469585418E-1,9.805405258E0
2.916677583E0,1.667180785E-1,-2.468924683E-1,9.805475425E0
2.926606583E0,1.629246791E-1,-2.468429497E-1,9.805540329E0
2.936535583E0,1.597417472E-1,-2.466750797E-1,9.805597047E0
2.946464583E0,1.576323459E-1,-2.467046265E-1,9.805630376E0
2.956393583E0,1.567282567E-1,-2.465976590E-1,9.805647917E0
2.966321583E0,1.567736092E-1,-2.465942237E-1,9.805646748E0
2.976250583E0,1.575054979E-1,-2.466484749E-1,9.805633884E0
2.986179583E0,1.584273662E-1,-2.465642567E-1,9.805621020E0
