"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
2.375835167E0,-1.471696123E-1,-3.039789078E-1,9.804184944E0
2.385764167E0,-1.459317567E-1,-3.039412480E-1,9.804204240E0
2.395693167E0,-1.460290398E-1,-3.038853889E-1,9.804204825E0
2.405621167E0,-1.472161251E-1,-3.038922411E-1,9.804186698E0
2.415550167E0,-1.496445468E-1,-3.040959252E-1,9.804143429E0
2.425479167E0,-1.529255748E-1,-3.041345533E-1,9.804091973E0
2.435408167E0,-1.572094460E-1,-3.038845666E-1,9.804031747E0
2.445337167E0,-1.620527861E-1,-3.038068169E-1,9.803955148E0
2.455266167E0,-1.671986282E-1,-3.038252722E-1,9.803868610E0
2.465195167E0,-1.723096794E-1,-3.037668366E-1,9.803781486E0
2.475124167E0,-1.770812267E-1,-3.037742918E-1,9.803696702E0
2.485053167E0,-1.815685627E-1,-3.037704545E-1,9.803614256E0
2.494982167E0,-1.855462591E-1,-3.038856812E-1,9.803536488E0
2.504911167E0,-1.887885401E-1,-3.038912726E-1,9.803474507E0
2.514839167E0,-1.909254416E-1,-3.038429417E-1,9.803434162E0
2.524768167E0,-1.922380319E-1,-3.037799563E-1,9.803410773E0
2.534697167E0,-1.925254957E-1,-3.036515916E-1,9.803409019E0
2.544626167E0,-1.918400741E-1,-3.036468225E-1,9.803422467E0
2.554555167E0,-1.901773635E-1,-3.035741160E-1,9.803457550E0
2.564484167E0,-1.876950560E-1,-3.036079750E-1,9.803504328E0
2.574413167E0,-1.845866396E-1,-3.037352433E-1,9.803559292E0
2.584342167E0,-1.808973754E-1,-3.037263994E-1,9.803628289E0
2.594271167E0,-1.771231439E-1,-3.036942397E-1,9.803697871E0
2.604200167E0,-1.733687198E-1,-3.037364859E-1,9.803763945E0
2.614129167E0,-1.700635081E-1,-3.037623415E-1,9.803821247E0
2.624057167E0,-1.669461382E-1,-3.038190047E-1,9.803872703E0
2.633986167E0,-1.641444448E-1,-3.038105628E-1,9.803920650E0
2.643915167E0,-1.619544798E-1,-3.036894158E-1,9.803960411E0
2.653844167E0,-1.604068680E-1,-3.037439776E-1,9.803984385E0
2.663773167E0,-1.596402980E-1,-3.036636149E-1,9.803999587E0
2.673702167E0,-1.594976077E-1,-3.037232565E-1,9.803999587E0
2.683631167E0,-1.601469410E-1,-3.036931799E-1,9.803990232E0
2.693560167E0,-1.612417773E-1,-3.038617076E-1,9.803966843E0
2.703489167E0,-1.629407224E-1,-3.037348596E-1,9.803942869E0
2.713418167E0,-1.650763813E-1,-3.035888985E-1,9.803911879E0
2.723347167E0,-1.675380591E-1,-3.034867915E-1,9.803873287E0
2.733275167E0,-1.701428475E-1,-3.034363775E-1,9.803830018E0
2.743204167E0,-1.725389268E-1,-3.033766080E-1,9.803789672E0
2.753133167E0,-1.746777835E-1,-3.034349523E-1,9.803749911E0
2.763062167E0,-1.765968945E-1,-3.036768260E-1,9.803708396E0
2.772991167E0,-1.784581729E-1,-3.036920653E-1,9.803673897E0
2.782920167E0,-1.802007893E-1,-3.036090531E-1,9.803644661E0
2.792849167E0,-1.814906303E-1,-3.035751393E-1,9.803621857E0
2.802778167E0,-1.823924171E-1,-3.035503434E-1,9.803606070E0
2.812707167E0,-1.827022282E-1,-3.035213266E-1,9.803601392E0
2.822636167E0,-1.822498364E-1,-3.034226731E-1,9.803612502E0
2.832565167E0,-1.812666271E-1,-3.034485470E-1,9.803630043E0
2.842493167E0,-1.796860334E-1,-3.033587740E-1,9.803661618E0
2.852422167E0,-1.778958900E-1,-3.033568737E-1,9.803694363E0
2.862351167E0,-1.756712985E-1,-3.034208458E-1,9.803732954E0
2.872280167E0,-1.736363213E-1,-3.033929985E-1,9.803769792E0
2.882209167E0,-1.724080588E-1,-3.032926091E-1,9.803794350E0
2.892138167E0,-1.714105056E-1,-3.033690980E-1,9.803809553E0
2.902067167E0,-1.701529340E-1,-3.033626295E-1,9.803831772E0
2.911996167E0,-1.689199389E-1,-3.033532740E-1,9.803853407E0
2.921925167E0,-1.677247863E-1,-3.032118444E-1,9.803878550E0
2.931854167E0,-1.670174194E-1,-3.031151278E-1,9.803893168E0
2.941783167E0,-1.668296324E-1,-3.031098653E-1,9.803896676E0
2.951711167E0,-1.670854846E-1,-3.030571490E-1,9.803894337E0
2.961640167E0,-1.678460429E-1,-3.030788751E-1,9.803880304E0
2.971569167E0,-1.690860546E-1,-3.032330223E-1,9.803854576E0
2.981498167E0,-1.705608686E-1,-3.033559052E-1,9.803824756E0
2.991427167E0,-1.721422846E-1,-3.034688844E-1,9.803793765E0
3.001356167E0,-1.738313990E-1,-3.034031946E-1,9.803766283E0
