"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
3.033008500E0,5.493976584E-1,1.659121312E-1,-9.793200949E0
3.042937500E0,5.711451345E-1,1.694336351E-1,-9.791893512E0
3.052866500E0,5.626261067E-1,1.706747614E-1,-9.792363628E0
3.062795500E0,5.498528276E-1,1.680634132E-1,-9.793134876E0
3.072724500E0,5.473985319E-1,1.654172192E-1,-9.793317894E0
3.082653500E0,5.355338736E-1,1.646083300E-1,-9.793989739E0
3.092582500E0,5.330567737E-1,1.704540107E-1,-9.794025992E0
3.102511500E0,5.287225251E-1,1.723528940E-1,-9.794226551E0
3.112440500E0,5.290511386E-1,1.694020784E-1,-9.794261634E0
3.122369500E0,5.335483418E-1,1.655405223E-1,-9.794084464E0
3.132298500E0,5.398228062E-1,1.653474729E-1,-9.793739478E0
3.142228500E0,5.451549918E-1,1.676931017E-1,-9.793408526E0
3.152157500E0,5.437275403E-1,1.690155226E-1,-9.793459981E0
3.162086500E0,5.400853462E-1,1.686271213E-1,-9.793672235E0
3.172015500E0,5.370043752E-1,1.681068287E-1,-9.793848821E0
3.181944500E0,5.353376995E-1,1.675066486E-1,-9.793950562E0
3.191873500E0,5.345887808E-1,1.667564691E-1,-9.794003187E0
3.201802500E0,5.350826512E-1,1.670432202E-1,-9.793969274E0
3.211731500E0,5.374418200E-1,1.681826964E-1,-9.793822508E0
3.221660500E0,5.402230481E-1,1.687035554E-1,-9.793661710E0
3.231589500E0,5.409653887E-1,1.677504227E-1,-9.793637736E0
3.241518500E0,5.400527480E-1,1.666832327E-1,-9.793706149E0
3.251447500E0,5.386256985E-1,1.665719346E-1,-9.793785671E0
3.261376500E0,5.370125613E-1,1.674194337E-1,-9.793862270E0
3.271305500E0,5.360485016E-1,1.678873023E-1,-9.793906124E0
3.281234500E0,5.362827922E-1,1.678702175E-1,-9.793893844E0
3.291163500E0,5.376432931E-1,1.675045290E-1,-9.793822508E0
3.301093500E0,5.390707081E-1,1.667731337E-1,-9.793756435E0
3.311022500E0,5.394622888E-1,1.666495016E-1,-9.793735385E0
3.320951500E0,5.389929402E-1,1.670360208E-1,-9.793759359E0
3.330880500E0,5.381927121E-1,1.675596390E-1,-9.793792103E0
3.340809500E0,5.375709704E-1,1.674981153E-1,-9.793829525E0
3.350738500E0,5.373416134E-1,1.670978369E-1,-9.793848236E0
3.360667500E0,5.377318054E-1,1.669495917E-1,-9.793830110E0
3.370596500E0,5.384119827E-1,1.670713234E-1,-9.793789179E0
3.380525500E0,5.386933800E-1,1.672246118E-1,-9.793771053E0
3.390454500E0,5.383343609E-1,1.674346913E-1,-9.793788595E0
3.400383500E0,5.379751592E-1,1.674084154E-1,-9.793808475E0
3.410312500E0,5.378127528E-1,1.670394378E-1,-9.793819585E0
3.420241500E0,5.374183581E-1,1.667926853E-1,-9.793847651E0
3.430170500E0,5.389650928E-1,1.648155590E-1,-9.793799120E0
3.440099500E0,5.429904257E-1,1.633226917E-1,-9.793600899E0
3.450028500E0,5.477366472E-1,1.619934369E-1,-9.793357070E0
3.459957500E0,5.512815582E-1,1.603685139E-1,-9.793185162E0
3.469887500E0,5.539512141E-1,1.593775022E-1,-9.793051261E0
3.479816500E0,5.546034710E-1,1.592459764E-1,-9.793017932E0
3.489745500E0,5.504843269E-1,1.601471785E-1,-9.793231355E0
3.499674500E0,5.416362105E-1,1.605288190E-1,-9.793719013E0
3.509603500E0,5.280082512E-1,1.609886659E-1,-9.794456931E0
3.519532500E0,5.166021242E-1,1.592252188E-1,-9.795096032E0
3.529461500E0,5.117725068E-1,1.589979814E-1,-9.795355064E0
3.539390500E0,5.086184455E-1,1.590836979E-1,-9.795512938E0
3.549319500E0,4.974084926E-1,1.579177448E-1,-9.796111109E0
3.559248500E0,4.774937897E-1,1.581183957E-1,-9.797097534E0
3.569177500E0,4.560255182E-1,1.594928020E-1,-9.798097408E0
