"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
3.300091583E0,-4.574025740E-1,-2.653100098E-1,9.795738641E0
3.310021583E0,-4.313096665E-1,-2.654565191E-1,9.796918024E0
3.319950583E0,-4.106472144E-1,-2.661345952E-1,9.797787505E0
3.329880583E0,-3.943118480E-1,-2.667078781E-1,9.798442978E0
3.339810583E0,-3.807683444E-1,-2.665547907E-1,9.798982676E0
3.349739583E0,-3.683883271E-1,-2.666450205E-1,9.799453377E0
3.359669583E0,-3.561006957E-1,-2.662289546E-1,9.799918815E0
3.369599583E0,-3.436801499E-1,-2.659354244E-1,9.800370805E0
3.379528583E0,-3.316595901E-1,-2.657594049E-1,9.800789466E0
3.389458583E0,-3.213129786E-1,-2.659161468E-1,9.801129774E0
3.399387583E0,-3.134608258E-1,-2.657839449E-1,9.801387636E0
3.409317583E0,-3.084421240E-1,-2.655795848E-1,9.801552528E0
3.419247583E0,-3.066148691E-1,-2.654464510E-1,9.801613339E0
3.429176583E0,-3.078801335E-1,-2.653711863E-1,9.801575916E0
3.439106583E0,-3.122328374E-1,-2.652673983E-1,9.801440846E0
3.449035583E0,-3.191944958E-1,-2.651269920E-1,9.801220406E0
3.458965583E0,-3.284594455E-1,-2.649297033E-1,9.800919859E0
3.468895583E0,-3.393392866E-1,-2.647534280E-1,9.800553823E0
3.478824583E0,-3.510951868E-1,-2.646559074E-1,9.800142179E0
3.488754583E0,-3.632658007E-1,-2.645022170E-1,9.799703053E0
3.498683583E0,-3.752823770E-1,-2.643830617E-1,9.799253402E0
3.508613583E0,-3.864038543E-1,-2.642424910E-1,9.798824801E0
3.518543583E0,-3.962652566E-1,-2.641597529E-1,9.798433038E0
3.528472583E0,-4.041012199E-1,-2.639656253E-1,9.798118458E0
3.538402583E0,-4.097095403E-1,-2.637957454E-1,9.797889832E0
3.548331583E0,-4.127594845E-1,-2.636565086E-1,9.797765871E0
3.558261583E0,-4.133560101E-1,-2.637130804E-1,9.797738973E0
3.568191583E0,-4.114665920E-1,-2.635664980E-1,9.797822589E0
3.578120583E0,-4.070586685E-1,-2.635810613E-1,9.798006191E0
3.588050583E0,-4.004954978E-1,-2.636228140E-1,9.798275748E0
3.597979583E0,-3.922827180E-1,-2.636451431E-1,9.798607285E0
3.607909583E0,-3.828577738E-1,-2.636517029E-1,9.798979753E0
3.617839583E0,-3.728801947E-1,-2.636703958E-1,9.799363915E0
3.627768583E0,-3.629188781E-1,-2.637660343E-1,9.799735798E0
3.637698583E0,-3.533987339E-1,-2.638901049E-1,9.800080199E0
3.647627583E0,-3.447716423E-1,-2.637465375E-1,9.800391271E0
3.657557583E0,-3.373885458E-1,-2.637283928E-1,9.800648548E0
3.667487583E0,-3.316674473E-1,-2.639126898E-1,9.800839167E0
3.677416583E0,-3.277742980E-1,-2.639614409E-1,9.800968975E0
3.687346583E0,-3.251607023E-1,-2.640750779E-1,9.801052591E0
3.697275583E0,-3.244413486E-1,-2.640844152E-1,9.801076564E0
3.707205583E0,-3.252314170E-1,-2.642003180E-1,9.801046743E0
3.717135583E0,-3.273471589E-1,-2.641154237E-1,9.800978916E0
3.727064583E0,-3.305991245E-1,-2.640180493E-1,9.800872496E0
3.736994583E0,-3.346004107E-1,-2.640707473E-1,9.800735087E0
3.746923583E0,-3.391681094E-1,-2.637877786E-1,9.800585983E0
3.756853583E0,-3.438646661E-1,-2.639713812E-1,9.800416998E0
3.766783583E0,-3.482985366E-1,-2.637144691E-1,9.800267310E0
3.776712583E0,-3.521868619E-1,-2.637351719E-1,9.800128146E0
